geneID	chr	start	end	total_exons	exon_changes	original_name
17813	Mc4771	10096	19557	16	1	Mca17813
17883	Mc480	1580	12263	9	1	Mca17883
17925	Mc4818	10389	13787	4	1	Mca17925
18059	Mc4877	30	733	3	1	Mca18059
18516	Mc5066	10566	11558	3	1	Mca18516
18590	Mc509	89606	93407	9	1	Mca18590
18742	Mc5140	14762	24007	14	1	Mca18742
18948	Mc5227	65	2337	4	1	Mca18948
19409	Mc5429	10449	12292	8	1	Mca19409
19428	Mc5437	9166	13107	2	1	Mca19428
19571	Mc55	125380	127630	5	1	Mca19571
19638	Mc5525	15834	18353	4	1	Mca19638
19682	Mc5545	7171	10611	3	1	Mca19682
19871	Mc5611	2509	12125	9	1	Mca19871
20263	Mc5802	9761	15496	16	1	Mca20263
20444	Mc587	15286	46843	12	1	Mca20444
20502	Mc5899	1661	5734	11	1	Mca20502
20619	Mc5957	6484	16467	5	1	Mca20619
20733	Mc6009	2271	4376	5	1	Mca20733
20752	Mc6011	2475	6364	10	1	Mca20752
20754	Mc6011	10165	15247	5	1	Mca20754
20951	Mc61	39665	56923	7	1	Mca20951
2106	Mc11166	201	7388	15	1	Mca02106
21265	Mc6232	8965	18003	7	1	Mca21265
21368	Mc6276	85	2882	5	1	Mca21368
22029	Mc6575	3118	10162	8	1	Mca22029
22041	Mc6583	6702	9044	3	1	Mca22041
22288	Mc6697	21026	23931	3	1	Mca22288
22375	Mc674	44838	50864	15	1	Mca22375
22500	Mc6807	11479	14055	5	1	Mca22500
22592	Mc6856	5530	7546	3	1	Mca22592
22658	Mc6888	136	7644	5	1	Mca22658
22757	Mc6936	14401	17906	3	1	Mca22757
22893	Mc6998	5624	8969	3	1	Mca22893
23002	Mc7042	3998	12037	12	1	Mca23002
23091	Mc7097	6678	8755	8	1	Mca23091
23145	Mc7122	152	3832	7	1	Mca23145
23840	Mc746	11999	16384	7	1	Mca23840
23901	Mc7483	6339	8130	3	1	Mca23901
23924	Mc7496	9170	12899	11	1	Mca23924
24003	Mc754	26435	37120	6	1	Mca24003
2406	Mc11328	66	3052	3	1	Mca02406
24086	Mc7593	9046	15961	10	1	Mca24086
24494	Mc778	5520	14825	4	1	Mca24494
24673	Mc7875	7211	10660	3	1	Mca24673
24691	Mc7886	8095	10064	4	1	Mca24691
24932	Mc8012	10657	11459	4	1	Mca24932
25189	Mc8135	1399	11133	22	1	Mca25189
25521	Mc8299	1234	10121	8	1	Mca25521
25677	Mc8370	4618	8604	13	1	Mca25677
26257	Mc8684	2288	4092	5	1	Mca26257
26512	Mc882	36168	46470	4	1	Mca26512
26629	Mc8886	4188	10033	11	1	Mca26629
26709	Mc892	2938	10371	12	1	Mca26709
26775	Mc8956	730	14779	15	1	Mca26775
26840	Mc8987	6973	10548	6	1	Mca26840
26863	Mc8997	3791	5341	7	1	Mca26863
2719	Mc11527	475	6874	10	1	Mca02719
27397	Mc927	734	53201	121	1	Mca27397
27642	Mc941	1470	22953	27	1	Mca27642
27853	Mc9517	1652	4921	7	1	Mca27853
27931	Mc957	1248	11511	17	1	Mca27931
28002	Mc961	2429	3884	5	1	Mca28002
28164	Mc970	296	2758	8	1	Mca28164
2834	Mc1162	41	6143	22	1	Mca02834
2943	Mc11687	336	3572	5	1	Mca02943
3191	Mc11861	2	5168	7	1	Mca03191
3358	Mc11950	337	3941	6	1	Mca03358
3464	Mc12006	784	4770	10	1	Mca03464
3910	Mc123	91833	100284	9	1	Mca03910
4445	Mc1266	30884	40030	5	1	Mca04445
4473	Mc12678	8349	11898	4	1	Mca04473
4476	Mc1268	16834	24523	12	1	Mca04476
449	Mc10220	1842	5635	3	1	Mca00449
4642	Mc12789	405	3959	4	1	Mca04642
5015	Mc1302	11263	14748	9	1	Mca05015
514	Mc1025	12114	13639	5	1	Mca00514
5616	Mc13403	199	6606	19	1	Mca05616
57	Mc10011	1448	7173	7	1	Mca00057
5751	Mc135	46505	48399	6	1	Mca05751
6162	Mc13778	1428	5471	9	1	Mca06162
6275	Mc1386	2537	9027	13	1	Mca06275
634	Mc1031	67147	69492	3	1	Mca00634
6643	Mc14097	3735	5381	4	1	Mca06643
7580	Mc1476	12023	43121	12	1	Mca07580
7621	Mc1479	42565	43191	3	1	Mca07621
7628	Mc148	3585	6072	7	1	Mca07628
7633	Mc148	30299	37626	24	1	Mca07633
7702	Mc1485	15530	36500	13	1	Mca07702
7786	Mc1493	10672	39429	27	1	Mca07786
8264	Mc1528	15154	21937	4	1	Mca08264
8403	Mc1551	2204	16710	13	1	Mca08403
8412	Mc1556	16156	19219	5	1	Mca08412
8413	Mc1556	21318	26539	7	1	Mca08413
8422	Mc1558	11395	14942	7	1	Mca08422
8769	Mc165	93730	105776	31	1	Mca08769
8774	Mc1650	12591	39025	20	1	Mca08774
9055	Mc1733	13256	15274	5	1	Mca09055
909	Mc1047	1393	10826	5	1	Mca00909
9125	Mc1752	13731	15565	7	1	Mca09125
9137	Mc1755	2676	20309	13	1	Mca09137
9177	Mc1765	13802	22264	30	1	Mca09177
9315	Mc1805	31482	37214	10	1	Mca09315
9481	Mc186	15664	32404	19	1	Mca09481
9517	Mc1872	2813	11789	7	1	Mca09517
9617	Mc190	39900	44238	7	1	Mca09617
9664	Mc1915	23299	33680	6	1	Mca09664
9975	Mc200	275	7393	4	1	Mca09975
9998	Mc2006	30190	33346	8	1	Mca09998
10116	Mc2046	28302	33374	13	0	Mca10116
11159	Mc2369	9891	16252	13	0	Mca11159
12343	Mc2748	21717	29725	6	0	Mca12343
14832	Mc3583	10306	14210	9	0	Mca14832
15064	Mc3684	4657	17167	8	0	Mca15064
15182	Mc3730	7509	34537	8	0	Mca15182
15825	Mc3989	15651	19269	5	0	Mca15825
17398	Mc4607	10035	14799	9	0	Mca17398
17730	Mc4736	10420	19282	18	0	Mca17730
18406	Mc5020	9259	10908	2	0	Mca18406
20048	Mc5705	3845	7720	6	0	Mca20048
20476	Mc5886	1892	16555	26	0	Mca20476
20541	Mc5912	19875	22536	8	0	Mca20541
21428	Mc6299	5737	12139	5	0	Mca21428
22176	Mc665	42866	53483	7	0	Mca22176
22865	Mc6985	6728	11073	11	0	Mca22865
24524	Mc780	2479	9396	5	0	Mca24524
24806	Mc7948	2742	4063	3	0	Mca24806
26494	Mc8805	9786	12852	4	0	Mca26494
27259	Mc9195	10509	12033	5	0	Mca27259
27632	Mc9401	237	6807	9	0	Mca27632
28020	Mc962	29622	32744	7	0	Mca28020
28573	Mc994	10865	11394	2	0	Mca28573
3260	Mc11893	1139	3175	5	0	Mca03260
4341	Mc126	48574	61544	10	0	Mca04341
5897	Mc136	3790	6167	8	0	Mca05897
604	Mc10299	1583	5480	3	0	Mca00604
7222	Mc1451	30351	41500	12	0	Mca07222
7564	Mc1474	23398	25943	9	0	Mca07564
